,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
0,1,A,P2,,,OMT72,520146,Annen forretningsbygning,Andre,Eldre,3774,0,4,10.733188,59.963944,False,False,False,False,False,False,False,[60.3115392 58.4154816 60.2088864 ... 69.983169  69.4763208 69.896367 ],[36.4696716 35.1676416 35.0676306 ... 38.3310084 38.0430522 36.3998526],[57.323286  55.5272394 57.3881988 ... 65.8302594 65.8736604 66.431835 ],[2.9882532 2.8882422 2.8206876 ... 4.1529096 3.6026604 3.464532 ],[36.4696716 35.1676416 35.0676306 ... 38.3310084 38.0430522 36.3998526],0,0,0,0,0,0.0,0.0,"[ 96.7812108  93.5831232  95.276517  ... 108.3141774 107.519373
 106.2962196]",977400.0,135.0,107.0,472730.20667880005,0.0,0,504712.28583,0.0,0.0,0.0,24.2638008,0.0,0,110.844267,0.0,0.0,0.0,28.593711,0.0,0,78.14067,0.0,0.0,0.0,Referansesituasjon
1,31,A,P1,,,OMT62,562854,Studenthjem/studentboliger,Hus,Eldre,2012,0,5,10.732332,59.963686,False,True,False,False,False,False,True,[32.4  29.55 28.95 ... 32.8  31.9  29.8 ],[18.25 18.25 18.25 ... 18.25 18.25 18.25],[32.4  29.55 28.95 ... 32.8  31.9  29.8 ],"[45.44820832 45.68488653 48.62089472 ... 39.42040376 37.79661148
 34.49510024]",[18.25 18.25 18.25 ... 18.25 18.25 18.25],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],0.0,0.0,[50.65 47.8  47.2  ... 51.05 50.15 48.05],273600.0,-9.0,-8.0,158663.0,0.0,0,157955.3,0.0,0.0,43051.56127558195,0.0,0.0,0,16.95,0.0,0.0,26.287278171199997,0.25,0.0,0,18.25,0.0,0.0,26.18417806,Referansesituasjon
2,32,A,E,,,OMT66,562855,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.732333,59.963363,False,False,False,False,False,False,True,[21.088 20.344 20.347 ... 16.131 18.063 16.03 ],[15.095 15.095 15.095 ... 15.095 15.095 15.095],[21.088 20.344 20.347 ... 16.131 18.063 16.03 ],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[15.095 15.095 15.095 ... 15.095 15.095 15.095],0,0,0,0,0,0.0,0.0,[36.183 35.439 35.442 ... 31.226 33.158 31.125],261100.0,18.0,12.0,130592.671,0.0,0,130512.388,0.0,0.0,0.0,2.737000000000002,0.0,0,15.094999999999999,0.0,0.0,0.0,0.0,0.0,0,12.467,0.0,0.0,0.0,Referansesituasjon
3,35,A,P1,,,OMT64,562856,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731653,59.963381,True,True,False,False,False,True,True,[23.1 19.7 19.2 ... 20.8 24.9 24.7],[13.7 13.7 13.7 ... 13.7 13.7 13.7],[23.1 19.7 19.2 ... 20.8 24.9 24.7],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.7 13.7 13.7 ... 13.7 13.7 13.7],[6.6        5.62857143 5.48571429 ... 5.94285714 7.11428571 7.05714286],"[-16.5        -14.07142857 -13.71428571 ... -14.85714286 -17.78571429
 -17.64285714]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],1073.0,643800.0,"[20.3        19.32857143 19.18571429 ... 19.64285714 20.81428571
 20.75714286]",118500.0,-8.0,-8.0,120173.77699999999,85838.41214285715,0,119937.12299999996,34335.36485714286,0.0,35776.446547103886,0.9000000000000004,0.6428571428571431,0,13.7,0.25714285714285723,0.0,21.8450939872,1.623000000000001,1.1592857142857151,0,13.7,0.46371428571428597,0.0,21.75941636,Referansesituasjon
4,38,A,E,,,OMT58,562857,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.731008,59.963362,False,False,False,False,False,False,True,[24.7 22.7 21.5 ... 23.1 22.3 19.3],[13.8 13.8 13.8 ... 13.8 13.8 13.8],[24.7 22.7 21.5 ... 23.1 22.3 19.3],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.8 13.8 13.8 ... 13.8 13.8 13.8],0,0,0,0,0,0.0,0.0,[38.5 36.5 35.3 ... 36.9 36.1 33.1],221900.0,9.0,10.0,111293.5,0.0,0,110569.80000000002,0.0,0.0,0.0,0.0,0.0,0,8.6,0.0,0.0,0.0,0.0,0.0,0,9.6,0.0,0.0,0.0,Referansesituasjon
5,40,A,P1,,,OMT56,562858,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730362,59.963353,True,True,False,False,False,True,True,[27.4 26.8 25.9 ... 21.5 22.3 24.5],[13.4 13.4 13.4 ... 13.4 13.4 13.4],[27.4 26.8 25.9 ... 21.5 22.3 24.5],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.4 13.4 13.4 ... 13.4 13.4 13.4],[7.82857143 7.65714286 7.4        ... 6.14285714 6.37142857 7.        ],"[-19.57142857 -19.14285714 -18.5        ... -15.35714286 -15.92857143
 -17.5       ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],981.0,588600.0,"[21.22857143 21.05714286 20.8        ... 19.54285714 19.77142857
 20.4       ]",97400.0,-17.0,-17.0,109831.79999999999,78451.28571428572,0,109275.40000000001,31380.514285714286,0.0,43222.740445663796,0.0,0.0,0,9.7,0.0,0.0,26.391800152,0.0,0.0,0,9.0,0.0,0.0,26.2882901,Referansesituasjon
6,42,A,E,,,OMT52,562859,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730433,59.963675,False,False,False,False,False,False,True,[32.1 31.  30.8 ... 22.4 22.4 23.2],[12.7 12.7 12.7 ... 12.7 12.7 12.7],[32.1 31.  30.8 ... 22.4 22.4 23.2],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[12.7 12.7 12.7 ... 12.7 12.7 12.7],0,0,0,0,0,0.0,0.0,[44.8 43.7 43.5 ... 35.1 35.1 35.9],209900.0,8.0,10.0,105366.80000000002,0.0,0,104519.69999999998,0.0,0.0,0.0,0.0,0.0,0,8.4,0.0,0.0,0.0,0.0,0.0,0,9.5,0.0,0.0,0.0,Referansesituasjon
7,44,A,P2,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,True,True,False,False,False,True,True,[18.55 15.75 14.3  ... 15.   16.35 17.55],[10.85 10.85 10.85 ... 10.85 10.85 10.85],[18.55 15.75 14.3  ... 15.   16.35 17.55],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[10.85 10.85 10.85 ... 10.85 10.85 10.85],[5.3        4.5        4.08571429 ... 4.28571429 4.67142857 5.01428571],"[-13.25       -11.25       -10.21428571 ... -10.71428571 -11.67857143
 -12.53571429]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],816.0,489600.0,"[16.15       15.35       14.93571429 ... 15.13571429 15.52142857
 15.86428571]",73700.0,-18.0,-19.0,91340.4,65243.142857142855,0,90786.19999999998,26097.257142857146,0.0,43222.740445663796,0.0,0.0,0,8.2,0.0,0.0,26.391800152,0.0,0.0,0,7.4,0.0,0.0,26.2882901,Referansesituasjon
8,46,A,P2,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,False,False,False,False,False,False,True,"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]","[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],0,0,0,0,0,0.0,0.0,"[20.49050852 18.59736371 18.31896006 ... 19.20985173 21.49276165
 21.38140019]",133700.0,8.0,9.0,66913.63590027488,0.0,0,66781.86522629214,0.0,0.0,0.0,0.5011265669901297,0.0,0,7.628259964183083,0.0,0.0,0.0,0.9036982424722,0.0,0,7.628259964183083,0.0,0.0,0.0,Referansesituasjon
9,58,A,E,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,False,True,False,False,False,False,True,[3.4 3.4 3.4 ... 1.  0.  0. ],[2.8 2.8 2.8 ... 2.8 2.2 2.4],[3.4 3.4 3.4 ... 1.  0.  0. ],"[38.95560713 39.15847417 41.67505262 ... 33.78891751 32.39709556
 29.56722878]",[2.8 2.8 2.8 ... 2.8 2.2 2.4],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],0.0,0.0,[6.2 6.2 6.2 ... 3.8 2.2 2.4],5000.0,-21.0,-24.0,23704.0,0.0,0,23413.6,0.0,0.0,42131.473236392085,2.0,0.0,0,2.8,0.0,0.0,25.725472524399997,0.0,0.0,0,1.4,0.0,0.0,25.624575845000003,Referansesituasjon
10,60,A,P1,,,OMT8-10,592798,Studenthjem/studentboliger,Hus,Eldre,7807,0,10,10.732541,59.964932,False,False,False,False,False,False,True,[57.6 58.4 55.8 ... 65.  59.6 16.8],[50.6 50.6 50.6 ... 50.6 50.6 50.6],[57.6 58.4 55.8 ... 65.  59.6 16.8],"[149.87106666 150.65154222 160.33339095 ... 129.99363844 124.63898332
 113.75184321]",[50.6 50.6 50.6 ... 50.6 50.6 50.6],0,0,0,0,0,0.0,0.0,[108.2 109.  106.4 ... 115.6 110.2  67.4],877900.0,71.0,45.0,439960.4,0.0,0,437940.00000000006,0.0,0.0,0.0,20.4,0.0,0,50.6,0.0,0.0,0.0,0.0,0.0,0,45.2,0.0,0.0,0.0,Referansesituasjon
11,64,A,E,,,OMT18,593922,Studenthjem/studentboliger,Hus,Eldre,1991,0,5,10.73141,59.965243,False,True,False,False,False,False,True,[33.5 34.5 32.4 ... 23.9 24.2 21.3],[16.1 16.1 16.1 ... 16.1 16.1 16.1],[33.5 34.5 32.4 ... 23.9 24.2 21.3],"[44.36615543 44.59719869 47.46330497 ... 38.48186375 36.8967315
 33.67382423]",[16.1 16.1 16.1 ... 16.1 16.1 16.1],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],0.0,0.0,[49.6 50.6 48.5 ... 40.  40.3 37.4],221200.0,-15.0,-14.0,132514.4,0.0,0,131251.69999999998,0.0,0.0,42602.21595411714,0.0,0.0,0,10.6,0.0,0.0,26.012907971599997,0.0,0.0,0,11.6,0.0,0.0,25.910883955,Referansesituasjon
12,65,A,P1,,,OMT24,593923,Studenthjem/studentboliger,Hus,Eldre,2164,0,5,10.730378,59.965032,True,True,False,False,False,True,True,[34.7 34.8 32.9 ... 50.9 50.5 49.3],[22.2 22.2 22.2 ... 22.2 22.2 22.2],[34.7 34.8 32.9 ... 50.9 50.5 49.3],"[44.36615543 44.59719869 47.46330497 ... 38.48186375 36.8967315
 33.67382423]",[22.2 22.2 22.2 ... 22.2 22.2 22.2],"[ 9.91428571  9.94285714  9.4        ... 14.54285714 14.42857143
 14.08571429]","[-24.78571429 -24.85714286 -23.5        ... -36.35714286 -36.07142857
 -35.21428571]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],1634.0,980400.0,"[32.11428571 32.14285714 31.6        ... 36.74285714 36.62857143
 36.28571429]",188800.0,-12.0,-9.0,182983.7,130702.64285714287,0,182774.09999999995,52281.05714285714,0.0,46303.96550713686,0.0,0.0,0,16.7,0.0,0.0,28.273195806399997,0.0,0.0,0,18.9,0.0,0.0,28.16230682,Referansesituasjon
13,71,A,E,,,OMT26,593932,Studenthjem/studentboliger,Hus,Eldre,2164,0,5,10.729364,59.964821,True,True,False,False,False,True,True,[40.8 37.8 37.4 ... 14.  13.4 13.2],[16.2 16.2 16.2 ... 16.2 16.2 16.2],[40.8 37.8 37.4 ... 14.  13.4 13.2],"[44.36615543 44.59719869 47.46330497 ... 38.48186375 36.8967315
 33.67382423]",[16.2 16.2 16.2 ... 16.2 16.2 16.2],"[11.65714286 10.8        10.68571429 ...  4.          3.82857143
  3.77142857]","[-29.14285714 -27.         -26.71428571 ... -10.          -9.57142857
  -9.42857143]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],1221.0,732600.0,"[27.85714286 27.         26.88571429 ... 20.2        20.02857143
 19.97142857]",127800.0,-17.0,-15.0,136789.59999999998,97706.85714285713,0,135028.8,39082.74285714285,0.0,46303.96550713686,0.0,0.0,0,11.0,0.0,0.0,28.273195806399997,0.0,0.0,0,12.8,0.0,0.0,28.16230682,Referansesituasjon
